Date,Description,Original Description,Category,Amount,Status,My Category,E,Comment
1/2/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********Q9HF,Uncategorized,-99.91,Posted,Rent,.,
1/2/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-80.03,Posted,Groceries,.,
1/2/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-823.79,Posted,CC Payments,.,
1/2/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Transfer,823.79,Posted,CC Payments,.,Date-shifted to match withdrawal
1/2/2024,Yardi,YARDI SERVICECHG WEB PMTS   ***********M9HF,Mortgage & Rent,-0.95,Posted,Rent,.,
1/3/2024,Honda Financial,HONDA PMT        8004489307 ***********LE9E,Auto Payment,-320,Posted,Car - note,.,
1/3/2024,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-13.35,Posted,Food - nice,.,
1/4/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********1WJF,Uncategorized,-1945,Posted,Rent,.,
1/4/2024,T-Mobile,TMOBILE*AUTO PAY         800-937-8997 WA,Mobile Phone,-35,Posted,Utilities,.,
1/4/2024,Yardi,YARDI SERVICECHG WEB PMTS   ***********0WJF,Mortgage & Rent,-0.95,Posted,Rent,.,
1/5/2024,I Hop Ipa,SQ *I HOP IPA            BROOMFIELD   CO,Business Services,-10.65,Posted,Going out,.,
1/5/2024,Tokyo Joe's,TOKYO JOES 120TH 006     612-3607277  CO,Fast Food,-12.3,Posted,Food - nice,.,
1/5/2024,Walgreens,WALGREENS #6345          DENVER       CO,Pharmacy,-12.52,Posted,Medical - Other,.,
1/7/2024,Nature Conservancy,Nature Conservancy       800-6286860  VA,Gifts & Donations,-30,Posted,Other - other,.,
1/8/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-30.08,Posted,Groceries,.,
1/9/2024,Post Oak Bbq,TST* POST OAK BBQ        DENVER       CO,Restaurants,-23.23,Posted,Food - nice,.,
1/10/2024,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-11.9,Posted,Entertainment - other,.,
1/11/2024,Advs Ed Serv Studntloan,ADVS ED SERV PPD STUDNTLOAN ***********0000,Student Loan,-500,Posted,Self-improvement,.,Student loans
1/11/2024,Snarf's,SNARFS WESTMINSTER       DENVER       CO,Fast Food,-20.06,Posted,Food - nice,.,
1/11/2024,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-163.71,Posted,Car/Rental Insurance,.,
1/12/2024,Mad Greens,MAD GREENS MG0115        WESTMINSTER  CO,Restaurants,-14.57,Posted,Food - nice,.,
1/13/2024,An Honda,AN HONDA 104             303-469-5551 CO,Auto & Transport,-107.48,Posted,Car - other,.,
1/16/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-150.41,Posted,Groceries,.,
1/16/2024,Patreon,PAYPAL *PATREON INC  MEMB402-935-7733 CA,Entertainment,-2,Posted,Entertainment - other,.,
1/19/2024,Account Verification Deposit from Bill.com,Bill.com         ACCTVERIFY ***********MKUO,Transfer,0.01,Posted,Income - Other,.,
1/19/2024,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-14.53,Posted,Food - nice,.,
1/19/2024,Safeway Fuel,SAFEWAY FUEL0244         DENVER       CO,Gas,-26.05,Posted,Car - other,.,
1/19/2024,I Hop Ipa,SQ *I HOP IPA            BROOMFIELD   CO,Business Services,-10.65,Posted,Going out,.,
1/19/2024,Outlaw Wings,SQ *OUTLAW WINGS         Broomfield   CO,Restaurants,-21.24,Posted,Food - nice,.,
1/21/2024,Scott @ Tried & True,SQ *SCOTT @ TRIED & TRUE Denver       CO,Hair,-56.25,Posted,Clothes/Personal care,.,
1/21/2024,The Grateful Gnome,THE GRATEFUL GNOME       973-8858125  CO,Alcohol & Bars,-14.9,Posted,Food - nice,.,
1/22/2024,Bad Daddy's Burger Bar,BAD DADDY'S BURGER BAR   CENTENNIAL   CO,Food & Dining,-51.9,Posted,Dates,.,
1/24/2024,Mugi Ramen and Poke,MUGI RAMEN AND POKE      WESTMINSTER  CO,Food & Dining,-16.17,Posted,Food - nice,.,
1/26/2024,Interest Paid,INTEREST PAID,Interest Income,0.09,Posted,Income - Other,.,
1/29/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-62.15,Posted,Groceries,.,
1/29/2024,The Pasty Republic,SQ *THE PASTY REPUBLIC   Denver       CO,Fast Food,-11.87,Posted,Food - nice,.,
1/30/2024,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,5616.04,Posted,Salary,.,
1/30/2024,Chick-fil-A,CHICK-FIL-A #01291       THORNTON     CO,Fast Food,-10.95,Posted,Food - nice,.,
1/31/2024,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-12.16,Posted,Food - nice,.,
2/2/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********QHPF,Uncategorized,-110.33,Posted,Rent,.,
2/4/2024,T-Mobile,TMOBILE*AUTO PAY         800-937-8997 WA,Mobile Phone,-35,Posted,Utilities,.,
2/5/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********F4QF,Uncategorized,-1945,Posted,Rent,.,
2/5/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-99.24,Posted,Groceries,.,
2/5/2024,Snarf's,SNARFS WESTMINSTER       DENVER       CO,Fast Food,-3.56,Posted,Food - nice,.,
2/6/2024,CVS,CVS/PHARMACY #10784      DENVER       CO,Pharmacy,-13.59,Posted,Medical - Other,.,
2/7/2024,Nature Conservancy,Nature Conservancy       800-6286860  VA,Gifts & Donations,-30,Posted,Other - other,.,
2/7/2024,Rocket,ROCKET 6515              NORTHGLENN   CO,Gas,-26.51,Posted,Car - other,.,
2/8/2024,Afc Urgent Care Denver,AFC URGENT CARE DENVER H DENVER       CO,Doctor,-75,Posted,Medical - Other,.,
2/8/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-31.83,Posted,Groceries,.,
2/12/2024,Advs Ed Serv Studntloan,ADVS ED SERV PPD STUDNTLOAN ***********0000,Student Loan,-500,Posted,Self-improvement,.,Student loans
2/12/2024,127311211,AUTOMATIC PAYMENT - THANK YOU,Uncategorized,579.91,Posted,CC Payments,.,
2/12/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-82.31,Posted,Groceries,.,
2/12/2024,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-11.9,Posted,Entertainment - other,.,
2/13/2024,Steam,PAYPAL *STEAM GAMES      4259522985   WA,Entertainment,-43.29,Posted,Games,.,
2/13/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT    ***********0051,Credit Card Payment,-579.91,Posted,CC Payments,.,
2/13/2024,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-163.7,Posted,Car/Rental Insurance,.,
2/14/2024,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,1169.82,Posted,Income - Other,.,Bonus
2/14/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-705.86,Posted,CC Payments,.,
2/14/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payment,705.86,Posted,CC Payments,.,
2/15/2024,Ah Mychart Medepay,AH MYCHART MEDEPAY       855-2412455  FL,Doctor,-70,Posted,Medical - Other,.,
2/15/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-14.43,Posted,Medical - Other,.,Perscription
2/15/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-11.51,Posted,Groceries,.,
2/17/2024,Patreon,PAYPAL *PATREON INC  MEMB402-935-7733 CA,Entertainment,-2,Posted,Entertainment - other,.,
2/19/2024,Recurring Reward Points Redemption,RECURRING REWARD POINTS REDEMPTION,Credit Card Payment,25,Posted,Income - Other,.,
2/21/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-63.92,Posted,Groceries,.,
2/23/2024,Los Dos Potrillos,TST* LOS DOS POTRILLOS - Northglenn   CO,Restaurants,-18.37,Posted,Food - nice,.,
2/26/2024,Interest Paid,INTEREST PAID,Interest Income,0.1,Posted,Income - Other,.,
2/26/2024,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-14.53,Posted,Food - nice,.,
2/28/2024,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,5616.04,Posted,Salary,.,
3/3/2024,Flower Child,FLOWER CHILD BOULDER     BOULDER      CO,Restaurants,-21.69,Posted,Food - nice,.,
3/3/2024,Gleam Car Wash,GLEAM CAR WASH           DENVER       CO,Service & Parts,-24.2,Posted,Car - other,.,
3/3/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-143.41,Posted,Groceries,.,
3/4/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********0WVF,Uncategorized,-1945,Posted,Rent,.,
3/4/2024,T-Mobile,TMOBILE*AUTO PAY         800-937-8997 WA,Mobile Phone,-35,Posted,Utilities,.,
3/6/2024,Conoco,CONOCO - SEI 25325       WESTMINSTER  CO,Gas,-26.36,Posted,Car - other,.,
3/6/2024,Jersey Mike's Subs,JERSEY MIKES 22003       WESTMINSTER  CO,Fast Food,-12.67,Posted,Food - nice,.,
3/7/2024,Cornerstoneapart Web Lyf,CORNERSTONEAPART WEB PMTS   ***********1LYF,Uncategorized,-229.83,Posted,Rent,.,
3/7/2024,Cosmos Pizza Federal,COSMOS PIZZA - FEDERAL   DENVER       CO,Food & Dining,-32.14,Posted,Food - nice,.,
3/7/2024,Nature Conservancy,Nature Conservancy       800-6286860  VA,Gifts & Donations,-30,Posted,Other - other,.,
3/10/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-87.45,Posted,Groceries,.,
3/10/2024,The Grateful Gnome,THE GRATEFUL GNOME       973-8858125  CO,Alcohol & Bars,-15.7,Posted,Food - nice,.,
3/11/2024,Advs Ed Serv Studntloan,ADVS ED SERV PPD STUDNTLOAN ***********0000,Student Loan,-500,Posted,Self-improvement,.,Student loans
3/11/2024,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-11.9,Posted,Entertainment - other,.,
3/11/2024,Tokyo Teriyaki,TOKYO TERIYAKI           NORTHGLENN   CO,Restaurants,-19.58,Posted,Food - nice,.,
3/12/2024,Credit Card Payment,AUTOMATIC PAYMENT - THANK YOU,Credit Card Payment,114.23,Posted,CC Payments,.,
3/12/2024,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-190.19,Posted,Car/Rental Insurance,.,
3/13/2024,Steam,PAYPAL *STEAM GAMES      4259522985   WA,Entertainment,-12.98,Posted,Games,.,
3/13/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT    ***********0051,Credit Card Payment,-114.23,Posted,CC Payments,.,
3/14/2024,Ah Mychart Medepay,AH MYCHART MEDEPAY       855-2412455  FL,Doctor,-70,Posted,Medical - Other,.,
3/14/2024,Steam,PAYPAL *STEAM GAMES      4259522985   WA,Entertainment,-20.29,Posted,Games,.,
3/16/2024,Patreon,PAYPAL *PATREON INC  MEMB402-935-7733 CA,Entertainment,-2,Posted,Entertainment - other,.,
3/22/2024,I Hop Ipa,SQ *I HOP IPA            BROOMFIELD   CO,Business Services,-11.65,Posted,Going out,.,
3/26/2024,Interest Paid,INTEREST PAID,Interest Income,0.12,Posted,Income - Other,.,
3/26/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-26.47,Posted,Groceries,.,
3/26/2024,Steam,PAYPAL *STEAM GAMES      4259522985   WA,Entertainment,-14.6,Posted,Games,.,
3/26/2024,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-12.16,Posted,Food - nice,.,
3/28/2024,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,5616.04,Posted,Salary,.,
4/2/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********TJ1G,Uncategorized,-2060.04,Posted,Rent,.,
4/2/2024,The Pasty Republic Denver,SQ *THE PASTY REPUBLIC   Denver       CO,Fast Food,-11.87,Posted,Food - nice,.,
4/4/2024,T-Mobile,TMOBILE*AUTO PAY         800-937-8997 WA,Mobile Phone,-35,Posted,Utilities,.,
4/5/2024,Sweetgreen,SWEETGREEN TENNYSON      DENVER       CO,Restaurants,-16.57,Posted,Food - nice,.,
4/6/2024,Archery Games Denver,ARCHERY GAMES DENVER     303-3054531  CO,Sporting Goods,-31.2,Posted,Going out,.,
4/6/2024,CVS,CVS/PHARMACY #10784      DENVER       CO,Pharmacy,-24.01,Posted,Medical - Other,.,
4/6/2024,Bakery Four,TST* BAKERY FOUR         DENVER       CO,Food & Dining,-10.87,Posted,Food - nice,.,
4/7/2024,Great Clips,0415 GREAT CLIPS AT 44TH DENVER       CO,Hair,-34,Posted,Clothes/Personal care,.,
4/7/2024,Nature Conservancy,Nature Conservancy       800-6286860  VA,Gifts & Donations,-30,Posted,Other - other,.,
4/7/2024,Safeway,SAFEWAY #0244            DENVER       CO,Groceries,-155.44,Posted,Groceries,.,
4/7/2024,Post Oak Bbq,TST* POST OAK BBQ        DENVER       CO,Restaurants,-14.67,Posted,Food - nice,.,
4/8/2024,Amazon Prime Membership,AMAZON PRIME*EP9AT3V53   888-802-3080 WA,Shopping,-10.81,Posted,Other - other,.,KEEP AN EYE ON. Don't think I did this
4/8/2024,Fidelity,FID BKG SVC LLC  MONEYLINE  ***********VNNL,Investments,-6500,Posted,401k,.,Transfer to 401k
4/10/2024,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-11.9,Posted,Entertainment - other,.,
4/11/2024,Advs Ed Serv Studntloan,ADVS ED SERV PPD STUDNTLOAN ***********0000,Student Loan,-500,Posted,Self-improvement,.,Student loans
4/11/2024,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-189.69,Posted,Car/Rental Insurance,.,
4/12/2024,Credit Card Payment,AUTOMATIC PAYMENT - THANK YOU,Credit Card Payment,652.29,Posted,CC Payments,.,
4/12/2024,CVS,CVS/PHARMACY #10784      DENVER       CO,Pharmacy,-37.83,Posted,Medical - Other,.,
4/13/2024,CVS,CVS/PHARMACY #10784      DENVER       CO,Pharmacy,-47.31,Posted,Medical - Other,.,
4/13/2024,Steam,PAYPAL *STEAM GAMES      4259522985   WA,Entertainment,-18.18,Posted,Games,.,
4/15/2024,State of Colorado,CO DEPT REVENUE  COSTTAXRFD ***********7107,State Tax,1349,Posted,Income - Other,.,
4/15/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT    ***********0051,Credit Card Payment,-652.29,Posted,CC Payments,.,
4/16/2024,Patreon,PAYPAL *PATREON INC  MEMB402-935-7733 CA,Entertainment,-2,Posted,Entertainment - other,.,
4/18/2024,Cosmos Pizza Federal,COSMOS PIZZA - FEDERAL   DENVER       CO,Food & Dining,-34.14,Posted,Food - nice,.,
4/18/2024,Federal Tax Refund,IRS  TREAS 310     TAX REF  ***********0918,Federal Tax,3934,Posted,Income - Other,.,
4/18/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-139.77,Posted,Groceries,.,
4/18/2024,King Soopers,KING SOOPERS #0657 FUEL QWHEAT RIDGE  CO,Gas,-32.19,Posted,Car - other,.,
4/22/2024,Pho Fusion Asian,PHO FUSION ASIAN         DENVER       CO,Food & Dining,-27.17,Posted,Food - nice,.,
4/23/2024,Snarf's,SNARFS WESTMINSTER       DENVER       CO,Fast Food,-20.06,Posted,Food - nice,.,
4/25/2024,Babajoon's Kabobs & More,BABAJOON`S KABOBS & MORE WESTMINSTER  CO,Restaurants,-26.79,Posted,Food - nice,.,
4/26/2024,Interest Paid,INTEREST PAID,Interest Income,0.13,Posted,Income - Other,.,
4/27/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-73.26,Posted,Groceries,.,
4/29/2024,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,5616.04,Posted,Salary,.,
4/29/2024,Xcel Energy,XCEL ENERGY-PSCO XCELENERGY ***********6821,Utilities,-33.89,Posted,Utilities,.,
5/2/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********X97G,Uncategorized,-2052.25,Posted,Rent,.,
5/2/2024,Steam,PAYPAL *STEAM GAMES      4259522985   WA,Entertainment,-32.46,Posted,Games,.,Palworld
5/3/2024,Mad Greens,MAD GREENS MG0115        WESTMINSTER  CO,Restaurants,-16.85,Posted,Food - nice,.,
5/4/2024,Snarf's,SNARFS AT HIGHLANDS      DENVER       CO,Fast Food,-14.41,Posted,Food - nice,.,
5/4/2024,T-Mobile,TMOBILE*AUTO PAY         800-937-8997 WA,Mobile Phone,-35,Posted,Utilities,.,
5/6/2024,Proto's Pizza Broomfie,PROTO`S PIZZA - BROOMFIE BROOMFIELD   CO,Food & Dining,-14.27,Posted,Food - nice,.,
5/7/2024,Nature Conservancy,Nature Conservancy       800-6286860  VA,Gifts & Donations,-30,Posted,Other - other,.,
5/8/2024,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-15.14,Posted,Food - nice,.,
5/10/2024,Mugi Ramen and Poke,MUGI RAMEN AND POKE      WESTMINSTER  CO,Food & Dining,-16.17,Posted,Food - nice,.,
5/10/2024,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-11.9,Posted,Entertainment - other,.,
5/11/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-87.15,Posted,Groceries,.,
5/12/2024,Credit Card Payment,AUTOMATIC PAYMENT - THANK YOU,Credit Card Payment,519.64,Posted,CC Payments,.,
5/12/2024,Recurring Reward Points Redemption,RECURRING REWARD POINTS REDEMPTION,Credit Card Payment,25,Posted,Income - Other,.,
5/13/2024,Advs Ed Serv Studntloan,ADVS ED SERV PPD STUDNTLOAN ***********0000,Student Loan,-500,Posted,Self-improvement,.,Student loans
5/13/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT    ***********0051,Credit Card Payment,-519.64,Posted,CC Payments,.,
5/13/2024,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-189.69,Posted,Car/Rental Insurance,.,
5/14/2024,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,1240.03,Posted,Income - Other,.,Bonus
5/16/2024,Patreon,PAYPAL *PATREON INC  MEMB402-935-7733 CA,Entertainment,-2,Posted,Entertainment - other,.,
5/19/2024,Riot Games,PAYPAL *RIOTGAMESIN      5555555555   CA,Entertainment,-11.96,Posted,Entertainment - other,.,RP
5/20/2024,Mad Greens,MAD GREENS MG0115        WESTMINSTER  CO,Restaurants,-12.61,Posted,Food - nice,.,
5/21/2024,King Soopers,KING SOOPERS #0657 FUEL QWHEAT RIDGE  CO,Gas,-33.37,Posted,Car - other,.,
5/22/2024,Bender's Bar,TST* BENDER'S BAR & GRILLWESTMINSTER  CO,Restaurants,-11.59,Posted,Going out,.,
5/24/2024,Interest Paid,INTEREST PAID,Interest Income,0.15,Posted,Income - Other,.,
5/26/2024,Amazon Prime Membership,AMAZON PRIME*XG7PQ6VR3   888-802-3080 WA,Shopping,-7.57,Posted,Books,.,Percy Jackson
5/26/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payment,616.83,Posted,CC Payments,.,
5/27/2024,Amazon Prime Membership,AMAZON PRIME PMTS        888-802- CREDIT,Shopping,7.57,Posted,Books,.,Percy Jackson return
5/28/2024,Mad Greens,MAD GREENS MG0115        WESTMINSTER  CO,Restaurants,-16.12,Posted,Food - nice,.,
5/28/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-616.83,Posted,CC Payments,.,
5/28/2024,Xcel Energy,XCEL ENERGY-PSCO XCELENERGY ***********6821,Utilities,-24.99,Posted,Utilities,.,
5/29/2024,Advs Ed Serv Web Studntloan,ADVS ED SERV WEB STUDNTLOAN ***********VD01,Student Loan,-3000,Posted,Self-improvement,.,Student loans
5/29/2024,Cosmos Pizza Federal,COSMOS PIZZA - FEDERAL   DENVER       CO,Food & Dining,-34.14,Posted,Food - nice,.,
5/30/2024,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,6010.65,Posted,Salary,.,
5/30/2024,Tokyo Teriyaki,TOKYO TERIYAKI           NORTHGLENN   CO,Restaurants,-20.04,Posted,Food - nice,.,
6/3/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********DFFG,Uncategorized,-1426.33,Posted,Rent,.,
6/3/2024,Panda Express,PANDA EXPRESS #711       THORNTON     CO,Fast Food,-10.85,Posted,Food - nice,.,
6/4/2024,T-Mobile,TMOBILE*AUTO PAY         800-937-8997 WA,Mobile Phone,-35,Posted,Utilities,.,
6/5/2024,Snarf's,SNARFS WESTMINSTER       DENVER       CO,Fast Food,-16.55,Posted,Food - nice,.,
6/5/2024,We Knead Donut,WE KNEAD DONUT           WESTMINSTER  CO,Fast Food,-6.52,Posted,Food - nice,.,
6/6/2024,Babajoon's Kabobs & More,BABAJOON`S KABOBS & MORE WESTMINSTER  CO,Restaurants,-24.53,Posted,Food - nice,.,
6/7/2024,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-129.32,Posted,Groceries,.,
6/7/2024,Nature Conservancy,Nature Conservancy       800-6286860  VA,Gifts & Donations,-30,Posted,Other - other,.,
6/9/2024,Den Public Parking,DEN PUBLIC PARKING       DENVER       CO,Parking,-14,Posted,Big Fun,.,Lunch with Jennifer
6/10/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********B4JG,Uncategorized,-100.3,Posted,Rent,.,
6/10/2024,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-11.9,Posted,Entertainment - other,.,
6/10/2024,Rocket Pack and Ship,ROCKET PACK AND SHIP     DENVER       CO,Office Supplies,-16.32,Posted,Housing - Other,.,
6/11/2024,Advs Ed Serv Studntloan,ADVS ED SERV PPD STUDNTLOAN ***********0000,Student Loan,-500,Posted,Self-improvement,.,Student loans
6/11/2024,Online Payment Web,Online Payment   WEB PMTS   ***********W8JG,Transfer,-290,Posted,Unexpected Fund,.,Application fee and such
6/11/2024,Target,TARGET        00013722   THORNTON     CO,Shopping,-22.43,Posted,Housing - Other,.,
6/11/2024,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-189.69,Posted,Car/Rental Insurance,.,
6/12/2024,Safeway Fuel,SAFEWAY FUEL0244         DENVER       CO,Gas,-32.94,Posted,Car - other,.,
6/12/2024,Tokyo Teriyaki,TOKYO TERIYAKI           NORTHGLENN   CO,Restaurants,-16.04,Posted,Food - nice,.,
6/12/2024,Tour Puzzle Effect,TOUR* PUZZLE EFFECT -    141-54049652 TX,Entertainment,-74.02,Posted,Big Fun,.,Escape room with Hank
6/13/2024,Frontier Airlines,FRONTIER AI UE96RZ       DENVER       CO,Air Travel,-304.96,Posted,,E,Conference travel
6/14/2024,Transfer to Venmo,VENMO            PAYMENT    ***********4716,Transfer,-26,Posted,Big Fun,.,Dinner with Hank
6/15/2024,Great Clips,482 GREAT CLIPS AT FEDERAWESTMINSTER  CO,Hair,-32,Posted,Clothes/Personal care,.,
6/15/2024,Parking Pass Epermit Parkfl,PARKING PASS EPERMIT     HTTPSWWW.PARKFL,Parking,-10.95,Posted,Car - Parking Pass,.,
6/15/2024,Walmart,WAL-MART #4747           NORTHGLENN   CO,Shopping,-86.2,Posted,Housing - Other,.,
6/16/2024,Amenify Cca,AMENIFY                  WWW.AMENIFY.CCA,Business Services,-195.5,Posted,Unexpected Fund,.,Move-out cleaning
6/16/2024,Amenify Cca,AMENIFY                  WWW.AMENIFY.CCA,Business Services,-49,Posted,Unexpected Fund,.,Move-out cleaning
6/16/2024,Patreon,PAYPAL *PATREON INC  MEMB402-935-7733 CA,Entertainment,-2,Posted,Entertainment - other,.,
6/17/2024,Walmart,WAL-MART #4747           NORTHGLENN   CO,Shopping,-1685.26,Posted,Unexpected Fund,.,Security deposit
6/18/2024,Cosmos Pizza Federal,COSMOS PIZZA - FEDERAL   DENVER       CO,Food & Dining,-34.14,Posted,Food - nice,.,
6/18/2024,U-Haul,U-HAUL OF ARVADA         ARVADA       CO,Home,-65.69,Posted,Unexpected Fund,.,Moving boxes
6/19/2024,Target,TARGET        00013722   THORNTON     CO,Shopping,-43.38,Posted,Housing - Other,.,
6/19/2024,Tokyo Teriyaki,TOKYO TERIYAKI           NORTHGLENN   CO,Restaurants,-4,Posted,Food - nice,.,
6/19/2024,Walgreens,WALGREENS #6345          DENVER       CO,Pharmacy,-17.52,Posted,Medical - Other,.,
6/20/2024,Cava Bradburn,10109 CAVA BRADBURN      WESTMINSTER  CO,Restaurants,-12.65,Posted,Food - nice,.,
6/20/2024,Dolly Inc,DOLLY INC.               646-612-7694 WA,Shipping,-399,Posted,Unexpected Fund,.,Movers
6/20/2024,Mad Greens,MAD GREENS MG0115        WESTMINSTER  CO,Restaurants,-24.43,Posted,Food - nice,.,
6/20/2024,Quantum Fiber,QUANTUM FIBER    QUANTUM FI ***********2715,Uncategorized,-49,Posted,Internet,.,
6/20/2024,The Grateful Gnome,THE GRATEFUL GNOME       973-8858125  CO,Alcohol & Bars,-15.7,Posted,Food - nice,.,
6/20/2024,We Knead Donut,WE KNEAD DONUT           WESTMINSTER  CO,Fast Food,-10.35,Posted,Food - nice,.,
6/23/2024,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-14.71,Posted,Food - nice,.,
6/23/2024,Safeway,SAFEWAY #0881            NORTHGLENN   CO,Groceries,-24.05,Posted,Groceries,.,
6/23/2024,Taziki's Denver,SQ *TAZIKI'S DENVER      Westminster  CO,Restaurants,-12.98,Posted,Food - nice,.,
6/24/2024,Amazon Prime Membership,AMAZON PRIME*RC1TQ5AE0   888-802-3080 WA,Shopping,-16.23,Posted,Books,.,Will of the Many
6/24/2024,Den Snarf's Sandwiches,DEN SNARF'S SANDWICHES   DENVER       CO,Fast Food,-16.7,Posted,Food - nice,.,
6/24/2024,Hudson News,HUDSONNEWS  ST1101       DENVER       CO,Newspapers & Magazines,-17.61,Posted,,E,Travel mask
6/24/2024,Recurring Reward Points Redemption,RECURRING REWARD POINTS REDEMPTION,Credit Card Payment,25,Posted,Income - Other,.,
6/24/2024,Sonesta Select Raleigh,SONESTA SELECT RALEIGH   MORRISVILLE  NC,Hotel,-15,Posted,,E,Conference food
6/24/2024,Sonesta Select Raleigh,SONESTA SELECT RALEIGH   MORRISVILLE  NC,Hotel,-387.33,Posted,,E,Conference hotel
6/24/2024,Jamba,TST* JAMBA JUICE - 1359 -NORTHGLENN   CO,Fast Food,-9.51,Posted,Food - nice,.,
6/24/2024,Walgreens,WALGREENS #5644          NORTHGLENN   CO,Pharmacy,-18.44,Posted,Medical - Other,.,
6/26/2024,Interest Paid,INTEREST PAID,Interest Income,0.17,Posted,Income - Other,.,
6/26/2024,Lyft,PAYPAL *LYFT TEMP AUTH HO402-935-7733 CA,Rental Car & Taxi,-14.8,Posted,,E,Conference Lyft
6/26/2024,Sonesta Select Raleigh,SONESTA SELECT RALEIGH   MORRISVILLE  NC,Hotel,-11,Posted,,E,Conference food
6/27/2024,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,6010.65,Posted,Salary,.,
6/27/2024,Den Public Parking,DEN PUBLIC PARKING       DENVER       CO,Parking,-24,Posted,,E,Conference parking
